iter	Passed	Remaining
0	2	279
1	4	243
2	6	218
3	8	195
4	9	185
5	11	181
6	13	175
7	15	172
8	16	170
9	18	167
10	20	163
11	21	160
12	23	158
13	25	155
14	27	153
15	29	152
16	30	150
17	32	148
18	34	145
19	36	144
20	37	142
21	39	141
22	41	139
23	43	138
24	45	136
25	47	134
26	49	133
27	51	131
28	52	129
29	54	127
30	56	125
31	58	124
32	60	122
33	62	120
34	64	119
35	66	117
36	67	114
37	69	112
38	70	110
39	72	108
40	74	106
41	75	103
42	76	101
43	78	100
44	80	98
45	82	96
46	83	94
47	85	92
48	87	91
49	89	89
50	90	87
51	92	85
52	94	83
53	95	81
54	97	79
55	99	77
56	100	76
57	102	74
58	104	72
59	106	70
60	108	69
61	109	67
62	111	65
63	113	63
64	114	61
65	116	60
66	118	58
67	119	56
68	121	54
69	123	52
70	125	51
71	127	49
72	131	48
73	133	46
74	135	45
75	137	43
76	140	41
77	142	40
78	143	38
79	145	36
80	147	34
81	149	32
82	150	30
83	152	29
84	154	27
85	156	25
86	157	23
87	159	21
88	161	19
89	162	18
90	164	16
91	166	14
92	167	12
93	169	10
94	171	9
95	173	7
96	175	5
97	177	3
98	179	1
99	180	0
