iter	Passed	Remaining
0	112	111964
1	113	56570
2	114	38085
3	115	28871
4	117	23347
5	118	19649
6	119	16975
7	120	14990
8	122	13450
9	123	12205
10	124	11220
11	125	10362
12	126	9640
13	128	9024
14	129	8492
15	130	8025
16	131	7616
17	132	7247
18	134	6920
19	135	6619
20	136	6357
21	137	6116
22	140	5947
23	141	5748
24	142	5560
25	143	5387
26	145	5235
27	146	5084
28	147	4942
29	148	4806
30	149	4684
31	150	4567
32	152	4456
33	153	4361
34	154	4267
35	155	4175
36	157	4095
37	158	4012
38	159	3938
39	160	3863
40	162	3790
41	163	3722
42	164	3656
43	165	3594
44	166	3534
45	167	3479
46	169	3427
47	170	3376
48	171	3325
49	172	3276
50	173	3230
51	174	3186
52	175	3142
53	176	3099
54	178	3061
55	179	3022
56	180	2983
57	181	2947
58	183	2924
59	184	2891
60	185	2860
61	187	2829
62	188	2799
63	189	2769
64	190	2739
65	191	2710
66	192	2681
67	193	2655
68	194	2630
69	196	2605
70	197	2583
71	198	2561
72	200	2540
73	201	2518
74	202	2498
75	203	2477
76	205	2459
77	206	2439
78	207	2421
79	208	2402
80	210	2383
81	211	2365
82	212	2344
83	213	2328
84	214	2311
85	215	2294
86	217	2277
87	218	2260
88	219	2242
89	220	2226
90	221	2211
91	222	2195
92	223	2181
93	224	2166
94	225	2151
95	227	2139
96	228	2127
97	229	2114
98	230	2101
99	232	2088
100	233	2075
101	234	2061
102	235	2047
103	236	2034
104	237	2021
105	238	2009
106	239	1998
107	240	1986
108	242	1979
109	243	1969
110	244	1960
111	245	1950
112	247	1939
113	248	1929
114	249	1919
115	250	1909
116	251	1897
117	252	1888
118	253	1879
119	254	1869
120	256	1860
121	257	1849
122	258	1840
123	259	1832
124	260	1822
125	261	1814
126	262	1803
127	263	1796
128	264	1787
129	265	1778
130	266	1770
131	268	1762
132	269	1753
133	270	1745
134	271	1737
135	272	1730
136	273	1722
137	274	1715
138	275	1707
139	276	1700
140	278	1694
141	278	1684
142	279	1677
143	281	1670
144	282	1664
145	283	1657
146	284	1650
147	285	1644
148	287	1640
149	288	1635
150	289	1630
151	291	1623
152	292	1617
153	293	1610
154	294	1604
155	295	1598
156	296	1592
157	297	1586
158	298	1580
159	299	1574
160	300	1565
161	302	1562
162	303	1557
163	304	1552
164	305	1547
165	307	1542
166	308	1537
167	309	1531
168	310	1526
169	311	1521
170	312	1515
171	313	1510
172	314	1504
173	315	1499
174	317	1495
175	318	1491
176	319	1486
177	320	1480
178	321	1475
179	322	1470
180	323	1464
181	324	1460
182	325	1455
183	327	1450
184	328	1445
185	329	1440
186	330	1435
187	331	1431
188	332	1428
189	333	1423
190	335	1419
191	336	1415
192	337	1410
193	338	1406
194	339	1402
195	340	1398
196	342	1394
197	343	1389
198	344	1384
199	345	1381
200	346	1377
201	347	1373
202	348	1369
203	350	1366
204	351	1362
205	352	1358
206	353	1354
207	354	1350
208	355	1346
209	356	1342
210	358	1338
211	359	1334
212	360	1331
213	361	1326
214	362	1323
215	363	1321
216	365	1317
217	366	1313
218	367	1309
219	368	1304
220	369	1301
221	370	1297
222	371	1293
223	372	1290
224	373	1286
225	374	1283
226	375	1279
227	377	1277
228	378	1274
229	379	1271
230	381	1268
231	382	1264
232	383	1261
233	384	1258
234	385	1255
235	386	1252
236	388	1249
237	389	1246
238	390	1243
239	391	1240
240	393	1238
241	394	1235
242	395	1232
243	397	1230
244	398	1227
245	399	1225
246	401	1223
247	402	1220
248	403	1217
249	404	1214
250	406	1214
251	408	1212
252	409	1209
253	411	1208
254	412	1206
255	414	1203
256	418	1210
257	420	1208
258	421	1206
259	422	1203
260	424	1201
261	425	1199
262	427	1196
263	428	1194
264	429	1191
265	430	1188
266	431	1185
267	433	1182
268	434	1180
269	435	1177
270	436	1175
271	438	1172
272	439	1169
273	440	1167
274	441	1164
275	442	1161
276	444	1159
277	445	1156
278	446	1153
279	447	1151
280	448	1148
281	449	1145
282	451	1142
283	452	1140
284	453	1137
285	454	1135
286	456	1133
287	457	1130
288	458	1128
289	459	1125
290	460	1122
291	462	1120
292	463	1118
293	464	1115
294	465	1112
295	466	1110
296	468	1107
297	469	1106
298	471	1104
299	472	1102
300	473	1099
301	474	1097
302	475	1094
303	476	1091
304	477	1089
305	479	1086
306	480	1084
307	481	1082
308	482	1079
309	484	1078
310	485	1076
311	487	1073
312	488	1071
313	489	1069
314	490	1066
315	491	1064
316	492	1062
317	494	1059
318	495	1057
319	496	1054
320	497	1052
321	498	1050
322	500	1048
323	501	1045
324	502	1044
325	504	1042
326	505	1039
327	506	1037
328	507	1035
329	509	1033
330	510	1031
331	511	1028
332	512	1026
333	514	1025
334	515	1023
335	516	1021
336	518	1019
337	519	1016
338	520	1014
339	521	1012
340	522	1010
341	523	1007
342	524	1005
343	525	1003
344	527	1000
345	528	999
346	529	997
347	531	995
348	532	993
349	533	990
350	534	988
351	535	986
352	536	984
353	538	982
354	539	979
355	540	977
356	541	975
357	542	973
358	543	971
359	545	969
360	546	967
361	547	964
362	548	962
363	549	960
364	550	958
365	551	955
366	553	954
367	554	951
368	555	949
369	556	947
370	557	945
371	558	943
372	560	942
373	561	940
374	562	938
375	564	936
376	565	934
377	566	932
378	567	930
379	568	927
380	570	926
381	571	924
382	572	922
383	573	920
384	574	918
385	576	916
386	577	914
387	578	913
388	579	910
389	581	908
390	582	906
391	583	904
392	584	902
393	585	900
394	586	898
395	587	896
396	588	894
397	590	893
398	591	891
399	593	889
400	594	887
401	595	885
402	596	883
403	597	881
404	598	879
405	599	877
406	600	875
407	601	873
408	603	871
409	604	870
410	605	868
411	607	866
412	608	864
413	609	862
414	610	860
415	611	858
416	612	856
417	614	854
418	615	853
419	616	851
420	617	849
421	619	847
422	620	846
423	621	844
424	622	842
425	624	840
426	625	839
427	626	837
428	627	835
429	629	833
430	630	832
431	631	830
432	632	828
433	633	826
434	635	824
435	636	823
436	637	821
437	638	819
438	639	817
439	640	815
440	641	813
441	643	811
442	644	810
443	645	808
444	647	807
445	648	805
446	650	804
447	651	803
448	653	801
449	654	799
450	655	797
451	656	796
452	657	794
453	658	792
454	660	790
455	661	789
456	662	787
457	663	785
458	665	784
459	666	782
460	667	780
461	669	779
462	670	777
463	671	775
464	672	773
465	673	771
466	674	770
467	676	768
468	677	766
469	678	764
470	679	762
471	680	761
472	681	759
473	683	758
474	684	756
475	685	754
476	686	752
477	687	751
478	688	749
479	689	747
480	691	745
481	692	744
482	693	742
483	694	740
484	696	739
485	697	737
486	698	736
487	699	734
488	700	732
489	702	730
490	703	729
491	704	727
492	705	726
493	706	724
494	707	722
495	709	720
496	710	718
497	711	717
498	712	715
499	713	713
500	714	712
501	716	710
502	717	709
503	718	707
504	720	705
505	721	704
506	722	702
507	723	700
508	724	698
509	725	697
510	727	695
511	728	694
512	729	692
513	730	690
514	731	689
515	733	687
516	734	686
517	735	684
518	736	682
519	737	680
520	738	679
521	740	677
522	741	676
523	742	674
524	743	672
525	744	671
526	746	669
527	747	668
528	748	666
529	749	664
530	750	663
531	751	661
532	753	659
533	754	658
534	755	656
535	756	654
536	757	653
537	758	651
538	760	650
539	761	648
540	762	646
541	763	645
542	764	643
543	765	641
544	766	640
545	767	638
546	768	636
547	770	635
548	771	633
549	772	632
550	774	630
551	775	629
552	776	627
553	777	625
554	778	624
555	779	622
556	780	621
557	782	619
558	783	617
559	784	616
560	785	614
561	787	613
562	788	611
563	789	610
564	790	608
565	791	606
566	792	605
567	793	603
568	794	601
569	795	600
570	796	598
571	797	596
572	798	595
573	799	593
574	800	591
575	802	590
576	803	588
577	804	587
578	805	585
579	806	584
580	808	582
581	809	581
582	810	579
583	811	577
584	811	576
585	812	574
586	813	572
587	814	570
588	816	569
589	817	568
590	818	566
591	819	565
592	821	563
593	822	562
594	823	560
595	824	559
596	825	557
597	826	555
598	828	554
599	829	552
600	830	551
601	831	549
602	833	548
603	834	546
604	835	545
605	836	543
606	837	542
607	838	540
608	839	539
609	840	537
610	841	535
611	842	534
612	843	532
613	844	531
614	845	529
615	847	528
616	848	526
617	849	525
618	851	523
619	852	522
620	853	520
621	854	519
622	855	517
623	856	516
624	857	514
625	858	512
626	859	511
627	860	509
628	861	508
629	862	506
630	864	505
631	865	503
632	866	502
633	867	500
634	868	499
635	869	497
636	870	496
637	871	494
638	872	492
639	873	491
640	875	490
641	876	488
642	877	487
643	878	485
644	879	484
645	880	482
646	881	481
647	882	479
648	883	478
649	884	476
650	885	474
651	886	473
652	888	471
653	889	470
654	890	468
655	891	467
656	892	466
657	894	464
658	895	463
659	896	461
660	897	460
661	898	458
662	899	457
663	900	455
664	901	454
665	902	452
666	903	451
667	904	449
668	905	448
669	906	446
670	907	445
671	908	443
672	909	442
673	911	440
674	912	439
675	913	437
676	914	436
677	915	434
678	916	433
679	918	432
680	919	430
681	920	429
682	921	427
683	922	426
684	923	424
685	924	423
686	926	421
687	927	420
688	928	418
689	929	417
690	930	416
691	931	414
692	932	413
693	933	411
694	934	410
695	936	408
696	937	407
697	938	406
698	939	404
699	940	403
700	942	401
701	943	400
702	944	398
703	945	397
704	946	396
705	947	394
706	948	393
707	949	391
708	950	390
709	951	388
710	952	387
711	953	385
712	954	384
713	956	382
714	957	381
715	957	379
716	959	378
717	960	377
718	961	375
719	962	374
720	963	372
721	963	371
722	965	369
723	965	368
724	966	366
725	968	365
726	969	364
727	971	362
728	972	361
729	973	359
730	974	358
731	975	357
732	976	355
733	977	354
734	978	352
735	979	351
736	980	349
737	981	348
738	982	346
739	983	345
740	984	344
741	985	342
742	986	341
743	987	339
744	988	338
745	989	337
746	990	335
747	992	334
748	993	332
749	993	331
750	994	329
751	995	328
752	996	327
753	998	325
754	999	324
755	1000	322
756	1001	321
757	1002	320
758	1003	318
759	1004	317
760	1005	315
761	1006	314
762	1007	313
763	1008	311
764	1009	310
765	1010	308
766	1012	307
767	1013	306
768	1014	304
769	1015	303
770	1016	302
771	1018	300
772	1019	299
773	1020	297
774	1021	296
775	1022	295
776	1024	293
777	1025	292
778	1026	291
779	1027	289
780	1028	288
781	1030	287
782	1031	285
783	1032	284
784	1033	283
785	1034	281
786	1035	280
787	1036	278
788	1037	277
789	1038	276
790	1039	274
791	1040	273
792	1041	271
793	1042	270
794	1043	269
795	1045	267
796	1046	266
797	1047	265
798	1048	263
799	1049	262
800	1050	261
801	1051	259
802	1052	258
803	1053	256
804	1054	255
805	1055	254
806	1056	252
807	1057	251
808	1058	249
809	1060	248
810	1061	247
811	1062	246
812	1064	244
813	1065	243
814	1066	242
815	1068	240
816	1070	239
817	1071	238
818	1072	236
819	1073	235
820	1074	234
821	1075	232
822	1076	231
823	1077	230
824	1078	228
825	1079	227
826	1080	226
827	1081	224
